身分證字號,date,expName,psychopyVersion,OS,frameRate,from,to,w,a,id,sequence_loop.thisN,enter_time,leave_time,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trial_loop.ran,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisIndex,sequence_loop.ran
A222222222,2024-09-11_14h57.20.038,GoFitts,2023.2.3,MacIntel,29.94011976,,,,,,,,,,,,,,,,,,,,,,,
A222222222,2024-09-11_14h57.20.038,GoFitts,2023.2.3,MacIntel,29.94011976,,,,,,,,,,,,,,,,,,,,,,,
A222222222,2024-09-11_14h57.20.038,GoFitts,2023.2.3,MacIntel,29.94011976,"[74.46875,84.26171875]","[-34.52948699526713,328.526123690311]",51,660.6714748,4.75,0,2.1303,1.63,"[74.46875,74.46875,74.46875,74.46875,74.46875,74.46875,74.46875,74.46875,74.46875,74.46875,74.46875,74.46875,74.46875,74.46875,74.46875,74.46875,75.21484375,78.7890625,79.16796875,72.6484375,50.33984375,27.90234375,16.64453125,10.0078125,3.98828125,-2.13671875,-4.24609375,-4.24609375,-4.24609375,-4.24609375,-4.24609375,-4.24609375,-4.24609375,-15.296875,-23.421875,-32.921875,-36.75390625,-37.8359375,-37.8359375,-37.8359375,-37.8359375,-38.21875,-39.12890625,-39.51171875,-39.51171875,-39.51171875,-39.51171875,-39.51171875,-39.51171875,-39.51171875,-40.18359375,-41.23828125,-41.23828125,-41.52734375,-41.52734375,-39.5234375,-37.140625,-34.90234375,-33.48046875,-32.41015625,-29.94140625,-27.03515625,-27.03515625,-27.3046875,-31.80078125,-34.1953125,-34.72265625,-34.72265625,-34.72265625,-34.72265625,-34.72265625,-34.72265625,-34.72265625,-34.1640625,-33.87890625,-33.87890625,-33.87890625,-33.87890625,-33.87890625,-33.87890625,-33.87890625]","[84.26171875,84.26171875,84.26171875,84.26171875,84.26171875,84.26171875,84.26171875,84.26171875,84.26171875,84.26171875,84.26171875,84.26171875,84.26171875,84.26171875,84.26171875,84.26171875,83.01953125,77.296875,76.60546875,80.8203125,104.37109375,170.65234375,228.88671875,254.734375,262.37890625,264.77734375,264.77734375,264.77734375,264.77734375,264.77734375,264.77734375,264.77734375,264.77734375,278.95703125,290.0234375,303.0546875,307.5546875,308.63671875,308.63671875,308.63671875,308.63671875,309.92578125,312.796875,313.5625,313.8515625,313.8515625,313.8515625,313.8515625,312.5546875,300.04296875,287.99609375,284.4765625,283.78515625,283.78515625,287.125,295.15234375,301.2734375,306.4453125,309.98046875,310.36328125,308,302.84375,301.03515625,301.03515625,305.140625,311.25,314.78515625,315.484375,315.80078125,315.80078125,315.80078125,315.80078125,315.80078125,315.2421875,314.93359375,314.93359375,314.93359375,314.93359375,314.93359375,314.93359375,314.93359375]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0002999999821220456,0.029399999976160274,0.06279999998212205,0.09650000000000247,0.12969999998808035,0.16279999998211991,0.1963999999761583,0.22929999998212125,0.2617999999821201,0.2960000000000029,0.329399999976161,0.3626999999880809,0.39539999997615993,0.42939999997615885,0.46309999999404283,0.49609999999404053,0.5298999999761591,0.5635999999940395,0.5966999999880791,0.6300000000000026,0.6623999999761594,0.6956999999880793,0.7300999999940423,0.762299999982119,0.7965000000000018,0.8300000000000018,0.8635999999940402,0.8960999999940427,0.9293999999761589,0.9627999999821206,0.9961999999880824,1.0295999999940406,1.062799999982122,1.0970000000000013,1.1300000000000026,1.1632999999821187,1.1975999999940399,1.2298999999761584,1.2628999999761596,1.2960999999940412,1.3290000000000006,1.3630999999940414,1.3965999999940415,1.4298999999761612,1.4631999999880811,1.4960999999940405,1.5295000000000023,1.5628999999761604,1.5956999999880814,1.6300999999940409,1.6631999999880804,1.6965000000000003,1.7300000000000004,1.7632999999821202,1.79659999999404,1.8298999999761598,1.8632999999821216,1.8971999999880822,1.9295000000000009,1.9626999999880823,1.9960999999940405,2.0295999999940406,2.0630999999940407,2.0963999999761604,2.1303999999761594,2.1631999999880804,2.1966999999880805,2.2292999999821212,2.2626999999880795,2.2963999999761597,2.3297999999821215,2.362699999988081,2.396399999976161,2.43019999998808,2.463199999988081,2.496000000000002,2.5293999999761603,2.56269999998808,2.596099999994042,2.629599999994042,2.6633999999761606]",0,0,0,0,1,,,,
A222222222,2024-09-11_14h57.20.038,GoFitts,2023.2.3,MacIntel,29.94011976,"[-34.52948699526713,328.526123690311]","[102.07935671324655,-314.1679556417993]",51,660.6714748,4.75,0,1.1322,0.199,"[-33.87890625,-33.87890625,-33.87890625,-33.87890625,-33.87890625,-33.87890625,-33.87890625,-33.87890625,-34.40234375,-34.40234375,-34.40234375,-35.34375,-36.83203125,-37.6484375,-38.46484375,-38.46484375,-38.46484375,-38.46484375,-10.1171875,52.74609375,116.38671875,119.6953125,119.6953125,119.6953125,119.6953125,119.6953125,119.6953125,118.734375,112.984375,100.78125,92.25390625,85.38671875,82.3203125,80.9765625,80.9765625,80.9765625,80.9765625,80.9765625,80.9765625,82.55078125,88.65234375,91.51171875,92.26953125,92.5546875,92.5546875,92.5546875,92.5546875,92.5546875,92.5546875,92.5546875,92.5546875]","[314.93359375,314.93359375,314.93359375,314.93359375,314.93359375,314.1875,298.13671875,266.65234375,257.10546875,254.91796875,254.5390625,256.9296875,266.20703125,277.95703125,292.48828125,303.01171875,304.16015625,288.5078125,182.89453125,6.1953125,-152.56640625,-159.1875,-159.1875,-159.1875,-159.1875,-159.1875,-159.43359375,-176.93359375,-196.65234375,-229.78125,-254.9765625,-269.375,-275.484375,-288.828125,-305.171875,-313.44921875,-315.63671875,-316.015625,-316.015625,-316.015625,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.03159999999403951,0.0648000000119211,0.09820000001788287,0.13630000001192144,0.16530000001192136,0.19900000000000162,0.23320000001788443,0.26520000001788446,0.29850000000000065,0.3319000000059624,0.3650999999940403,0.3985000000000021,0.4319000000059603,0.46520000001788375,0.49849999999999994,0.531300000011921,0.5654000000059618,0.5980999999940408,0.631700000017883,0.665200000017883,0.6985999999940411,0.7313000000119239,0.7649000000059623,0.7979000000059635,0.8314000000059636,0.8650999999940403,0.8985000000000021,0.931800000011922,0.9653000000119221,0.9988000000119222,1.0314000000059629,1.0652000000178816,1.0988000000119236,1.1323000000119237,1.1653000000119214,1.1983000000119226,1.2320000000000029,1.2649000000059623,1.2985999999940425,1.3313000000119217,1.3648000000119218,1.3985999999940404,1.4319000000059603,1.4649000000059615,1.4983000000119233,1.5314000000059629,1.5645999999940408,1.5980000000000025,1.6315000000000026,1.6649000000059608]",1,0,1,0,1,,,,
A222222222,2024-09-11_14h57.20.038,GoFitts,2023.2.3,MacIntel,29.94011976,"[102.07935671324655,-314.1679556417993]","[-165.1678687117577,286.0791403866304]",51,660.6714748,4.75,0,1.1999,0.5326,"[92.5546875,92.5546875,92.5546875,92.5546875,92.5546875,92.5546875,92.5546875,92.5546875,92.5546875,92.5546875,92.5546875,92.5546875,92.5546875,92.5546875,92.5546875,92.5546875,78.34765625,47.0625,-24.72265625,-100.99609375,-136.84765625,-153.1171875,-160.20703125,-162.5546875,-162.87109375,-162.87109375,-162.87109375,-162.87109375,-162.87109375,-165.765625,-171.625,-174.98046875,-174.98046875,-174.98046875,-174.45703125,-172.234375,-169.71484375,-168.2890625,-168.2890625,-168.2890625,-168.2890625,-167.91015625,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125]","[-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-315.48828125,-282.97265625,-203.76953125,-10.4140625,194.8125,299.765625,344.73828125,361.40234375,363.89453125,363.89453125,363.89453125,363.89453125,363.89453125,363.89453125,363.37109375,357.38671875,349.078125,336.140625,324.38671875,318.3125,313.19921875,306.15234375,302.24609375,301.55859375,301.55859375,301.55859375,300.9296875,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00009999999403831339,0.03200000000000003,0.0648000000119211,0.09850000000000136,0.13209999999403976,0.16499999999999915,0.1986999999880794,0.23199999999999932,0.2654999999999994,0.2989000000059612,0.33240000000596126,0.3655000000000008,0.39890000000595904,0.4323000000119208,0.4654999999999987,0.4986999999880801,0.532699999988079,0.5659000000059606,0.5993000000119224,0.6314999999999991,0.6654000000059597,0.6984000000059609,0.7325000000000017,0.7659999999999982,0.7995999999940402,0.832099999994039,0.8656999999880775,0.898900000005959,0.9323000000119208,0.9661999999880777,0.999199999988079,1.032699999988079,1.0660999999940408,1.0993000000119224,1.1329999999999991,1.1661999999880805,1.199900000005961,1.2325000000000017,1.26609999999404,1.2989000000059612,1.3321999999880774,1.3658000000119195,1.3994999999999997,1.4323000000119208,1.4646999999880776,1.4988000000119222,1.5321999999880802,1.5655000000000001,1.5983000000119212,1.632400000005962,1.6655999999940398,1.698599999994041,1.7325000000000017]",2,0,2,0,1,,,,
A222222222,2024-09-11_14h57.20.038,GoFitts,2023.2.3,MacIntel,29.94011976,"[-165.1678687117577,286.0791403866304]","[221.03775228419764,-245.48729393654475]",51,660.6714748,4.75,0,1.7329,0.5659,"[-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-167.53125,-162.50390625,-137.28125,-86.26171875,-36.89453125,-8.890625,8.56640625,21.29296875,31.24609375,50.00390625,71.88671875,87.39453125,99.90234375,105.4296875,112.44140625,120.98828125,128.30078125,135.7890625,147.80078125,162.33984375,172.53125,182.015625,192.8203125,209.78125,216.21875,219.84765625,221.12890625,222.64453125,224.15625,224.84765625,224.84765625,224.84765625,224.84765625,224.84765625,224.84765625,224.84765625,224.84765625,224.3203125,224.3203125,224.3203125,224.3203125,223.9375,223.9375,223.9375,223.9375,223.9375,223.9375,223.9375,223.9375,223.9375,223.9375,223.9375,223.9375,223.9375]","[299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,299.86328125,282.34375,236.69921875,185.78515625,141.8515625,109.03515625,81.37109375,60.4765625,24.03515625,-14.015625,-41.140625,-61.8984375,-73.921875,-84.83984375,-97.5859375,-109.7734375,-118.59765625,-132.37890625,-151.17578125,-166.796875,-178.87109375,-197.18359375,-245.74609375,-269.0234375,-277.9140625,-280.1015625,-280.48046875,-280.48046875,-280.48046875,-280.48046875,-280.48046875,-280.48046875,-280.48046875,-280.48046875,-279.078125,-273.90625,-266.74609375,-265,-264.6171875,-264.03125,-262.8828125,-262.1875,-261.8984375,-261.8984375,-261.8984375,-261.8984375,-261.8984375,-261.8984375,-261.8984375,-261.8984375,-261.8984375,-261.8984375,-261.8984375]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.03219999998808021,0.0648000000119211,0.09869999998807799,0.13219999998807808,0.16540000000595967,0.1985999999940411,0.2321999999880795,0.2654000000059611,0.29869999998808083,0.3321999999880809,0.36559999999403914,0.3983000000119219,0.4323000000119208,0.4654000000059604,0.4986999999880801,0.5324000000059605,0.5659000000059606,0.5993000000119224,0.6321999999880781,0.6655999999940398,0.6986999999880794,0.7320999999940412,0.7664000000059623,0.8014000000059625,0.8315000000000019,0.8655999999940391,0.8989000000059626,0.9324000000059627,0.9656999999880789,0.9994000000059593,1.0325999999940407,1.0658000000119223,1.0990999999940385,1.1328000000119225,1.1661999999880805,1.198999999999998,1.232300000011918,1.266300000011924,1.2990999999940414,1.3328000000119218,1.365800000011923,1.399599999994038,1.4320000000000022,1.4656999999880824,1.4986999999880766,1.5314000000059593,1.5653000000119235,1.5976999999880803,1.6323000000119237,1.6658000000119202,1.6991999999880818,1.7329000000059622,1.765500000000003,1.7989000000059576,1.8321999999880774,1.8655999999940391,1.8990999999940428,1.9323000000119208,1.96519999998808,1.997699999988079,2.0320000000000036,2.0653000000119235,2.0985999999940432,2.131900000005963,2.165300000011925,2.1985999999940375,2.2319000000059646,2.265199999988077]",3,0,3,0,1,,,,
A222222222,2024-09-11_14h57.20.038,GoFitts,2023.2.3,MacIntel,29.94011976,"[221.03775228419764,-245.48729393654475]","[-267.2472254250044,194.1664747627013]",51,660.6714748,4.75,0,1.0671,0.4325,"[223.9375,223.9375,223.9375,223.9375,223.9375,223.9375,223.9375,223.9375,223.9375,223.9375,223.9375,223.69140625,218.1875,198.69921875,160.0859375,88.54296875,14.89453125,-46.08203125,-90.51171875,-113.37890625,-137.1875,-156.71484375,-174.9296875,-195.734375,-212.0078125,-219.9375,-225.54296875,-231.26953125,-235.7734375,-238.5546875,-241.62109375,-245.06640625,-246.88671875,-247.26953125,-247.875,-248.50390625,-248.79296875,-250.0859375,-251.6171875,-252.69921875,-252.69921875,-252.69921875,-252.69921875,-252.69921875,-252.69921875,-252.69921875,-252.69921875,-252.69921875,-252.69921875]","[-261.8984375,-261.8984375,-261.8984375,-261.8984375,-261.8984375,-261.8984375,-261.8984375,-261.8984375,-261.8984375,-261.8984375,-261.8984375,-261.41015625,-254.5703125,-231.78125,-190.375,-124.359375,-56.6796875,0.32421875,43.0625,66.88671875,89.5859375,103.51171875,114.0546875,123.98828125,135.46875,142.734375,148.33984375,154.73828125,159.91015625,165.08203125,172.15625,177.32421875,180.19921875,180.96484375,181.25390625,181.56640625,182.33203125,183.76953125,184.91796875,185.30078125,185.30078125,185.5703125,185.5703125,185.5703125,185.5703125,185.5703125,185.5703125,185.5703125,185.5703125]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.032399999976156835,0.06569999998807674,0.09879999998211275,0.13209999999403976,0.16549999999999443,0.19879999998211417,0.23239999997615257,0.26500000000000057,0.2987999999821156,0.33229999998211923,0.36599999999999966,0.39869999998807515,0.4325999999940393,0.46609999999403584,0.4992999999821137,0.5326999999880755,0.5659999999999954,0.5996999999880757,0.6326999999880769,0.6653999999761524,0.6996999999880771,0.7327999999821131,0.7656999999880796,0.7997999999821133,0.8325999999940379,0.8659999999999997,0.8988999999761589,0.9321999999880788,0.9656999999880753,0.9993999999761556,1.0326999999880755,1.067099999994035,1.0995999999940338,1.132599999994035,1.1661999999880734,1.199699999988077,1.2326999999880783,1.2658999999761562,1.2993999999761527,1.332399999976154,1.3661999999880763,1.3991999999880775,1.431899999976153,1.465899999976159,1.4992999999821137,1.5319999999999965,1.5656999999880767,1.5991999999880733]",4,0,4,0,1,,,,
A222222222,2024-09-11_14h57.20.038,GoFitts,2023.2.3,MacIntel,29.94011976,"[-267.2472254250044,194.1664747627013]","[301.7767124202716,-134.3596489276097]",51,660.6714748,4.75,0,0.8995,0.4317,"[-252.69921875,-252.69921875,-252.69921875,-252.69921875,-252.69921875,-252.69921875,-252.69921875,-252.69921875,-252.69921875,-252.69921875,-252.69921875,-252.69921875,-250.2109375,-230.828125,-188.40234375,-128.484375,-29.53515625,38.6875,90.4375,125.9609375,161.59375,185.88671875,208.6875,229.96875,250.625,265.44921875,275.4765625,281.5859375,285.1171875,287.01171875,287.390625,287.390625,287.390625,287.390625,287.390625,287.390625,287.390625,287.390625,287.390625,287.390625,287.390625,287.390625,287.390625,287.390625]","[185.5703125,185.5703125,185.5703125,185.5703125,185.5703125,185.5703125,185.5703125,185.5703125,185.5703125,185.5703125,185.5703125,185.5703125,185.328125,179.45703125,162.8984375,135.35546875,82.203125,37.36328125,0.15625,-28.2265625,-57.171875,-69.31640625,-79.7578125,-88.8125,-102.8515625,-115.78515625,-125.51953125,-129.625,-131.57421875,-132.33203125,-132.33203125,-132.33203125,-132.33203125,-132.33203125,-132.33203125,-132.33203125,-132.33203125,-132.33203125,-132.33203125,-132.33203125,-132.33203125,-132.33203125,-132.33203125,-132.33203125]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.031900000005961715,0.06540000000595825,0.09890000000596189,0.1319999999999979,0.16540000000595967,0.19870000001787957,0.23100000000000165,0.26550000000000296,0.2989000000059647,0.33210000002384277,0.3654000000059625,0.3992000000178848,0.43170000001788367,0.4659000000059592,0.4992000000178791,0.5324000000059641,0.5663000000119212,0.5993000000119224,0.6316000000238446,0.6657000000178854,0.6984000000059609,0.7325000000000017,0.7659000000059635,0.7991000000238415,0.8322000000178846,0.8654000000059625,0.8995000000000033,0.9314999999999998,0.9659000000059592,0.9984000000059581,1.0320000000000036,1.064800000011921,1.0985000000000014,1.1319000000059631,1.1655000000000015,1.1987000000178796,1.2319999999999993,1.2653000000119192,1.2986000000238462,1.3314999999999984,1.3653000000119206,1.3987000000178824,1.432200000017879]",5,0,5,0,1,,,,
A222222222,2024-09-11_14h57.20.038,GoFitts,2023.2.3,MacIntel,29.94011976,"[301.7767124202716,-134.3596489276097]","[-323.1171089974442,68.6806617052545]",51,660.6714748,4.75,0,1.1668,0.3985,"[287.390625,287.390625,287.390625,287.390625,287.390625,287.390625,287.390625,287.390625,287.390625,287.390625,287.390625,285.83203125,267.73046875,213.390625,119.984375,17.65625,-73.640625,-120.89453125,-150.05078125,-172.85546875,-184.625,-192.93359375,-204.9921875,-225.04296875,-242.58984375,-259.1171875,-267.1484375,-274.2109375,-281.2890625,-287.375,-291.875,-293.40625,-294.48828125,-296.69140625,-299.55859375,-302.41796875,-303.56640625,-304.6484375,-305.03125,-305.4140625,-305.67578125,-305.67578125,-305.67578125,-305.9296875,-305.9296875,-305.9296875,-305.9296875,-305.9296875,-305.9296875,-305.9296875,-305.9296875,-305.9296875]","[-132.33203125,-132.33203125,-132.33203125,-132.33203125,-132.33203125,-132.08984375,-132.08984375,-132.08984375,-132.08984375,-132.08984375,-132.08984375,-131.05859375,-121.37890625,-96.52734375,-55.7109375,-4.5390625,39.953125,65.1328125,77.0703125,84.359375,87.48046875,88.0078125,88.0078125,88.0078125,90.7265625,91.54296875,91.54296875,90.875,88.34765625,85.98046875,83.88671875,83.5078125,83.12890625,82.2265625,80.8046875,79.38671875,78.62890625,78.25,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.03179999998211969,0.06550000000000011,0.09829999998211747,0.13259999999404215,0.1658999999761619,0.19889999997615604,0.23219999998808305,0.2656999999880796,0.29859999999403897,0.3315999999940402,0.3651999999880786,0.3985999999940404,0.43200000000000216,0.46519999998808004,0.49869999998807657,0.5321999999880802,0.5655000000000001,0.5990999999940385,0.6325999999940422,0.6660999999940387,0.6986999999880794,0.7330999999940389,0.765500000000003,0.7987999999821227,0.8325000000000031,0.8655999999940391,0.8978999999761612,0.932099999994044,0.9652999999821219,0.9987999999821184,1.0324999999999989,1.0655000000000001,1.0990999999940385,1.1327999999821188,1.1667999999821177,1.1995999999940423,1.2320999999940412,1.265299999982119,1.2985000000000042,1.3320000000000007,1.365000000000002,1.3986999999880823,1.4323999999761625,1.4655999999940406,1.4985999999940418,1.5321999999880802,1.5655000000000001,1.5990000000000038,1.6320999999940398,1.6653999999761595,1.698999999999998]",6,0,6,0,1,,,,
A222222222,2024-09-11_14h57.20.038,GoFitts,2023.2.3,MacIntel,29.94011976,"[-323.1171089974442,68.6806617052545]","[330.3357374235156,0]",51,660.6714748,4.75,0,1.0995,0.4659,"[-305.9296875,-305.9296875,-305.9296875,-305.9296875,-305.9296875,-305.9296875,-305.9296875,-305.9296875,-305.9296875,-305.9296875,-305.9296875,-305.9296875,-305.9296875,-305.9296875,-295.6875,-264.96484375,-201.0625,-98.12890625,4.90234375,86.20703125,142.859375,172.6484375,195.46875,211.4453125,225.984375,244.765625,270.5625,287.3984375,291.8828125,293.3984375,294.9140625,297.09765625,305.11328125,315.60546875,320.08984375,320.84765625,320.84765625,320.84765625,320.84765625,320.84765625,320.84765625,320.84765625,320.84765625,320.84765625,320.84765625,320.84765625,320.84765625,320.84765625,320.84765625,320.84765625]","[77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,77.5625,75.21484375,66.76953125,52.4296875,37.96484375,23.2421875,10.171875,0.61328125,-5.56640625,-8.29296875,-9.10546875,-9.10546875,-9.10546875,-9.10546875,-9.10546875,-9.10546875,-9.10546875,-9.86328125,-10.53125,-11.19921875,-11.19921875,-11.19921875,-11.19921875,-11.19921875,-11.19921875,-11.19921875,-11.19921875,-11.19921875,-11.19921875,-11.19921875,-11.19921875,-11.19921875,-11.19921875,-11.19921875,-11.19921875,-11.19921875]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.03200000000000358,0.06529999998212332,0.09900000000000375,0.13219999998808163,0.16529999998212475,0.19879999998212128,0.23229999998212492,0.2654000000059611,0.2985000000000042,0.33200000000000074,0.36509999999404386,0.3980999999940451,0.432099999994044,0.4660000000000011,0.4995000000000047,0.5326999999880826,0.5659000000059606,0.5994000000059643,0.632699999988084,0.6659000000059621,0.6989000000059633,0.7322999999821249,0.7660000000000053,0.79940000000596,0.8320999999940426,0.8657999999821229,0.8994000000059614,0.9324000000059627,0.9652999999821219,0.999199999988079,1.032500000000006,1.0657999999821186,1.0995000000000061,1.132699999988084,1.166000000000004,1.1987999999821213,1.2312999999821201,1.265500000000003,1.2985000000000042,1.3320000000000007,1.3654000000059625,1.3984000000059638,1.432099999994044,1.465400000005964,1.4986999999880837,1.5320999999940454,1.565599999994042,1.5987999999821199,1.6321999999880816]",7,0,7,0,1,,,,
