身分證字號,date,expName,psychopyVersion,OS,frameRate,from,to,w,a,id,sequence_loop.thisN,enter_time,leave_time,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trial_loop.ran,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisIndex,sequence_loop.ran
A999999999,2024-09-12_12h32.12.766,GoFitts,2023.2.3,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,,,,
A999999999,2024-09-12_12h32.12.766,GoFitts,2023.2.3,MacIntel,30.03003003,,,,,,,,,,,,,,,,,,,,,,,
A999999999,2024-09-12_12h32.12.766,GoFitts,2023.2.3,MacIntel,30.03003003,"[59.29296875,-57.46484375]","[-48.852310828661224,-464.798689654844]",48,934.7178616,5.32,0,2.2957,1.6952,"[59.29296875,59.29296875,59.29296875,59.29296875,59.29296875,59.29296875,59.29296875,59.29296875,59.29296875,59.29296875,59.29296875,59.29296875,59.29296875,59.29296875,59.29296875,59.29296875,59.29296875,59.29296875,35.1796875,-10.7109375,-37.00390625,-55.76171875,-64.51953125,-68.35546875,-69.6953125,-73.81640625,-76.015625,-76.015625,-75.375,-71.1796875,-66.98828125,-61.12109375,-58.30859375,-55.265625,-54.36328125,-54.05078125,-54.05078125,-54.05078125,-54.05078125,-54.05078125,-54.05078125,-54.05078125,-54.05078125,-54.05078125,-54.05078125,-54.05078125,-54.05078125,-54.05078125,-54.05078125,-54.05078125,-54.05078125,-54.05078125,-40.5234375,-23.73828125,-14.85546875,-10.7890625,-10.7890625,-10.7890625,-10.7890625,-10.7890625,-10.7890625,-10.7890625,-10.7890625,-11.89453125,-21.97265625,-33.46875,-40.58203125,-48.5546875,-56.28515625,-59.60546875,-61.08984375,-62.6640625,-63.046875,-63.046875,-62.359375,-61.078125,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375]","[-57.46484375,-57.46484375,-57.46484375,-57.46484375,-57.46484375,-57.46484375,-57.46484375,-57.46484375,-57.46484375,-57.46484375,-57.46484375,-57.46484375,-57.46484375,-57.46484375,-57.46484375,-57.46484375,-57.46484375,-57.46484375,-89.23046875,-183.5625,-267.875,-335.81640625,-369.26953125,-388.6875,-399.18359375,-405.29296875,-407.4765625,-407.85546875,-407.85546875,-407.85546875,-409.94921875,-420.25390625,-427.5,-435.58984375,-437.77734375,-438.53515625,-439.60546875,-441.12109375,-443.29296875,-444.80859375,-445.9453125,-446.2578125,-446.2578125,-446.2578125,-446.2578125,-446.2578125,-446.2578125,-446.2578125,-446.2578125,-446.2578125,-446.2578125,-434.34375,-382.1796875,-239.89453125,-108.2890625,-22.2109375,10.40625,10.40625,10.40625,10.40625,10.40625,10.40625,10.40625,2.46484375,-40.6953125,-128.921875,-266.57421875,-364.2421875,-419.1953125,-444.94140625,-453.2421875,-457.03515625,-459.22265625,-460.265625,-461.33203125,-464.19140625,-468.38671875,-469.8984375,-470.65625,-470.65625,-470.65625,-470.65625,-470.65625,-470.65625,-470.65625,-470.65625]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00030000001192220793,0.027499999999999858,0.060800000011923316,0.09450000000000003,0.1275999999940396,0.16109999999403968,0.19400000000000261,0.22780000001192136,0.2610999999940411,0.29409999999404235,0.32769999998808075,0.36119999998808083,0.39430000001192056,0.4276999999880786,0.4611999999880787,0.4944000000059603,0.52769999998808,0.5615999999940406,0.5946999999880802,0.628099999994042,0.6618000000119224,0.6941999999880792,0.7274000000059608,0.7614000000059633,0.7939000000059622,0.8280999999940413,0.8614000000059612,0.8949999999999996,0.9280999999940391,0.9606999999880799,0.995000000000001,1.032099999994042,1.0605999999940394,1.0948000000119222,1.1279000000059618,1.1613000000119236,1.1945999999940398,1.2280999999940398,1.260900000005961,1.2945000000000029,1.3281999999880796,1.3613000000119229,1.3943000000119206,1.4275999999940403,1.461000000000002,1.4934000000059626,1.5268000000119208,1.561,1.5940999999940395,1.6276999999880815,1.6610000000000014,1.6953000000119225,1.7280000000000015,1.7608000000119226,1.7949000000059634,1.8280999999940413,1.8610000000000007,1.8944000000059624,1.9278000000119206,1.961000000000002,1.994300000011922,2.027000000000001,2.0600999999940406,2.0948000000119222,2.127900000005962,2.161400000005962,2.1946999999880816,2.22809999999404,2.2608000000119226,2.2956999999880807,2.327199999988082,2.361199999988081,2.394599999994039,2.428199999988081,2.4604999999999997,2.49419999998808,2.5280000000000022,2.5614000000059605,2.5948000000119222,2.6278000000119235,2.6610000000000014,2.6941999999880792,2.727599999994041,2.7603000000119238,2.7943000000119227,2.828500000000002]",0,0,0,0,1,,,,
A999999999,2024-09-12_12h32.12.766,GoFitts,2023.2.3,MacIntel,30.03003003,"[-48.852310828661224,-464.798689654844]","[-48.852310828660805,464.79868965484405]",48,934.7178616,5.32,0,0.9637,0.3975,"[-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-60.55859375,-66.8359375,-75.18359375,-84.0234375,-88.7578125,-92.0625,-100.70703125,-112.734375,-116.7578125,-116.7578125,-105.07421875,-82.33203125,-70.2265625,-65.07421875,-63.26953125,-62.3671875,-57.49609375,-52.05859375,-49.87109375,-49.1796875,-49.1796875,-49.1796875,-49.1796875,-49.1796875,-49.1796875,-49.1796875,-49.1796875,-49.1796875,-49.1796875,-49.1796875,-49.1796875]","[-470.65625,-470.65625,-470.65625,-470.65625,-470.65625,-470.65625,-470.65625,-470.65625,-470.65625,-470.65625,-470.65625,-470.16796875,-434.921875,-250.796875,-14.31640625,158.5859375,275.06640625,324.67578125,351.46875,363.515625,368.68359375,377.99609375,390.984375,399.30078125,405.40625,416.015625,431.92578125,441.45703125,445.4296875,448.3046875,451.171875,456.59375,460.04296875,461.3359375,461.3359375,461.3359375,461.3359375,461.3359375,461.3359375,461.3359375,461.3359375,461.3359375,461.3359375,461.3359375,461.3359375,461.3359375]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.0312999999821173,0.06350000000000122,0.0966999999880791,0.13019999998807918,0.16359999999404096,0.19659999999403865,0.23009999999403874,0.2630000000000017,0.2970000000000006,0.3301999999880785,0.3644000000059613,0.39769999998808103,0.4305000000000021,0.4640000000000022,0.49719999998808007,0.5305999999940383,0.5629000000059605,0.5972999999821198,0.6304000000059595,0.6639000000059596,0.6966999999880805,0.7307999999821178,0.7644000000059599,0.7974000000059611,0.8309000000059612,0.8639000000059625,0.8965999999940415,0.9299000000059614,0.9637999999821183,0.9967999999821195,1.0301999999880778,1.0639000000059617,1.0970999999940396,1.1311999999880804,1.162900000005962,1.1967999999821188,1.22979999998212,1.2634000000059622,1.2962999999821179,1.3300999999940402,1.363500000000002,1.3967999999821181,1.4299999999999997,1.46369999998808,1.4969000000059616]",1,0,1,0,1,,,,
A999999999,2024-09-12_12h32.12.766,GoFitts,2023.2.3,MacIntel,30.03003003,"[-48.852310828660805,464.79868965484405]","[144.42185208337426,-444.48475656536084]",48,934.7178616,5.32,0,0.9662,0.1657,"[-49.1796875,-49.1796875,-49.1796875,-54.6875,-65.171875,-87.9921875,-108.9609375,-126.48046875,-138.99609375,-146.0703125,-151.2421875,-157.36328125,-159.56640625,-159.56640625,-132.32421875,-72.54296875,28.328125,138.26171875,147.421875,147.421875,147.421875,147.421875,147.421875,147.421875,147.421875,144.171875,138.50390625,134.42578125,134.42578125,136.47265625,137.140625,137.140625,137.140625,137.40234375,137.40234375,137.66796875,138.046875,138.046875,138.046875,138.046875,138.046875,138.046875,138.046875,138.046875,138.046875,138.046875]","[461.3359375,461.3359375,461.3359375,461.3359375,461.3359375,459.27734375,457.21875,454.4921875,453.01171875,452.34375,451.8203125,451.15234375,450.25,436.140625,375.31640625,242.828125,11.984375,-305.33984375,-337.41015625,-337.41015625,-337.41015625,-337.41015625,-337.41015625,-337.41015625,-338.17578125,-351.15234375,-364.375,-379.5,-405.98828125,-430.85546875,-440.703125,-442.21484375,-442.52734375,-442.52734375,-442.52734375,-442.80078125,-442.80078125,-442.80078125,-442.80078125,-442.80078125,-442.80078125,-442.80078125,-442.80078125,-442.80078125,-442.80078125,-442.80078125]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0000999999940418661,0.031500000000001194,0.06469999998807907,0.09859999999403968,0.13219999998808163,0.16569999998808171,0.1985999999940411,0.23200000000000287,0.26509999999404243,0.2985999999940425,0.3310999999940414,0.365000000000002,0.39809999999404155,0.43130000001192315,0.4650000000000034,0.49849999999999994,0.5320999999940419,0.5655000000000001,0.5985000000000014,0.6315000000000026,0.6648000000119225,0.6980999999940423,0.7314000000059622,0.7644000000059634,0.7986999999880808,0.8318000000119241,0.8653000000119242,0.8986999999880823,0.9319000000059638,0.9661999999880813,0.9984000000059616,1.032,1.064099999994042,1.0985999999940397,1.1315000000000026,1.1654000000059632,1.1986999999880794,1.2315999999940423,1.264800000011924,1.298199999988082,1.3315999999940402,1.3648000000119218,1.3981999999880799,1.4315000000000033,1.4649000000059615,1.4984000000059616]",2,0,2,0,1,,,,
A999999999,2024-09-12_12h32.12.766,GoFitts,2023.2.3,MacIntel,30.03003003,"[144.42185208337426,-444.48475656536084]","[-233.6794653891094,404.74470673947064]",48,934.7178616,5.32,0,0.7656,0.399,"[138.046875,138.046875,138.046875,138.046875,138.046875,138.046875,138.046875,138.046875,138.046875,138.046875,138.046875,138.046875,120.3984375,41.89453125,-44.93359375,-84.48828125,-115.43359375,-137.21875,-146.55859375,-150.7421875,-161.03125,-182.88671875,-204.41015625,-221.87109375,-225.9921875,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125]","[-442.80078125,-442.80078125,-442.80078125,-442.80078125,-442.80078125,-442.80078125,-442.80078125,-442.80078125,-442.80078125,-442.80078125,-442.80078125,-442.80078125,-373.90234375,-132.3125,143.0859375,244.984375,298,319.93359375,327.64453125,331.30859375,340.26171875,361.015625,388.16796875,407.8203125,413.56640625,413.94921875,414.265625,414.265625,414.265625,414.265625,414.265625,414.265625,414.265625,414.265625,414.265625,414.265625,414.265625,414.265625,414.265625,414.265625]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00010000002384202844,0.031300000011921014,0.06470000001788279,0.09799999999999898,0.13149999999999906,0.1641000000238435,0.19780000001192022,0.23140000000596217,0.2647000000178821,0.29810000002384385,0.3315000000000019,0.364300000011923,0.3990000000000009,0.431800000011922,0.4651000000238419,0.49830000001191976,0.5318000000119198,0.5649000000059594,0.5984000000059595,0.63080000001192,0.6651000000238412,0.6983000000119226,0.7317000000178808,0.7656000000238414,0.7986000000238427,0.832300000011923,0.8649000000059601,0.8981000000238417,0.9314000000059615,0.9647000000178814,0.9979000000059628,1.0314000000059593,1.064600000023841,1.097999999999999,1.131499999999999,1.1646000000238423,1.197900000005962,1.2310000000000016,1.2645000000000017,1.2982000000178822]",3,0,3,0,1,,,,
A999999999,2024-09-12_12h32.12.766,GoFitts,2023.2.3,MacIntel,30.03003003,"[-233.6794653891094,404.74470673947064]","[312.72416473885744,-347.31537104848104]",48,934.7178616,5.32,0,0.7661,0.3655,"[-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-226.7578125,-218.38671875,-164.46484375,25.3046875,171.07421875,226.44921875,226.44921875,226.44921875,226.44921875,226.44921875,226.44921875,247.56640625,271.99609375,292.828125,297.94921875,300.67578125,301.34375,301.34375,301.34375,301.34375,301.72265625,301.72265625,301.98046875,302.64453125,302.64453125,302.64453125,302.64453125,302.64453125,302.64453125,302.64453125,302.64453125]","[414.265625,414.265625,414.265625,414.265625,414.265625,414.265625,414.265625,414.265625,414.265625,414.265625,410.95703125,376.30859375,177.66015625,-30.00390625,-128.71484375,-128.71484375,-128.71484375,-128.71484375,-128.71484375,-128.71484375,-166.984375,-233.5859375,-302.34375,-339.9375,-354.76953125,-358.58203125,-359.71484375,-359.98828125,-359.98828125,-360.24609375,-360.24609375,-360.53125,-360.53125,-360.53125,-360.53125,-360.53125,-360.53125,-360.53125,-360.53125,-360.53125]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.03159999999403951,0.0648000000119211,0.09819999998807916,0.13140000000596075,0.16480000001192252,0.1983000000119226,0.23140000000596217,0.2648000000119204,0.29819999998807845,0.33169999998807853,0.36559999999403914,0.3990000000000009,0.4323000000119208,0.4650999999940417,0.4980999999940394,0.5315999999940395,0.564900000005963,0.5980999999940408,0.6314000000059607,0.6653000000119214,0.6984000000059609,0.7316999999880807,0.7661999999880784,0.7988000000119229,0.832099999994039,0.8650999999940403,0.8986999999880787,0.9311999999880811,0.9650999999940417,0.9983000000119233,1.032,1.0650999999940396,1.0981999999880792,1.1314000000059607,1.1650000000000027,1.197900000005962,1.2313000000119203,1.2638000000119227,1.2981999999880784]",4,0,4,0,1,,,,
A999999999,2024-09-12_12h32.12.766,GoFitts,2023.2.3,MacIntel,30.03003003,"[312.72416473885744,-347.31537104848104]","[-378.1013174724838,274.706687038616]",48,934.7178616,5.32,0,0.699,0.2975,"[302.64453125,302.64453125,302.64453125,302.64453125,302.64453125,302.64453125,302.64453125,302.64453125,292.66796875,207.08203125,78.91015625,-19.9140625,-109.33203125,-182.56640625,-224.80859375,-260.109375,-284.26171875,-299.98046875,-319.3359375,-347.02734375,-367.9921875,-380.0546875,-386.453125,-389.3203125,-390.61328125,-390.99609375,-391.76171875,-391.76171875,-392.14453125,-392.14453125,-392.14453125,-392.14453125,-392.14453125,-392.14453125,-392.14453125,-392.14453125,-392.14453125,-392.14453125]","[-360.53125,-360.53125,-360.53125,-360.53125,-360.53125,-360.53125,-360.53125,-360.53125,-344.56640625,-220.15234375,-72.44921875,38.99609375,120.00390625,167.125,186.921875,203.32421875,215.05859375,224.35546875,235.90625,246.8515625,251.9375,256.68359375,261.74609375,264.61328125,266.81640625,269.6875,271.21875,271.53125,271.8203125,271.8203125,271.8203125,271.8203125,271.8203125,271.8203125,271.8203125,271.8203125,271.8203125,271.8203125]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.03109999999403712,0.06439999997615686,0.09769999998807677,0.13109999999403854,0.16459999999403863,0.19789999997615837,0.23119999998807828,0.26489999997615854,0.29749999999999943,0.33109999999403783,0.3647999999821181,0.3983999999761565,0.4320999999940369,0.46499999999999986,0.4983999999761579,0.5316999999880778,0.5640000000000001,0.597899999976157,0.6315999999940374,0.6648999999761571,0.6989999999999981,0.7316999999880771,0.7647999999821167,0.7982999999821168,0.8314999999999984,0.8640000000000008,0.8985999999940368,0.9318999999761566,0.9644999999999975,0.9979999999999976,1.031199999988079,1.0645999999940372,1.097899999976157,1.1311999999880769,1.1645000000000003,1.1980000000000004,1.2313999999761585]",5,0,5,0,1,,,,
A999999999,2024-09-12_12h32.12.766,GoFitts,2023.2.3,MacIntel,30.03003003,"[-378.1013174724838,274.706687038616]","[426.95362830114476,-190.09200261622806]",48,934.7178616,5.32,0,0.7324,0.2985,"[-392.14453125,-392.14453125,-392.14453125,-392.14453125,-392.14453125,-392.14453125,-392.14453125,-392.14453125,-390.89453125,-348.3359375,-271.63671875,-73.16796875,123.4296875,221.1484375,281.484375,307.5859375,322.8359375,337.58203125,349.046875,357.31640625,372.11328125,395.296875,417.953125,428.7421875,431.59375,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625]","[271.8203125,271.8203125,271.8203125,271.8203125,271.8203125,271.8203125,271.8203125,271.8203125,271.8203125,261.90234375,232.9140625,145.21484375,27.84765625,-50.96484375,-102.00390625,-125.30859375,-139.59765625,-149.8359375,-159.67578125,-171.19921875,-185.99609375,-197.90625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.031900000005961715,0.06509999999403959,0.09800000000000253,0.1310999999940421,0.16470000001788065,0.19840000000596092,0.23199999999999932,0.26559999999404127,0.29850000000000065,0.33209999999403905,0.36520000001788233,0.3985999999940404,0.43200000000000216,0.46550000000000225,0.499300000011921,0.5325000000000024,0.565599999994042,0.5988000000119236,0.6310000000000002,0.6650000000000027,0.6983000000119226,0.7324000000059598,0.7654000000059611,0.798599999994039,0.8320000000000007,0.865000000000002,0.8984000000059602,0.931800000011922,0.9645999999940393,0.9983000000119233,1.0315999999940395,1.0647000000178828,1.0980000000000025,1.131599999994041,1.1650000000000027,1.1982000000178807,1.2315000000000005,1.265200000017881]",6,0,6,0,1,,,,
A999999999,2024-09-12_12h32.12.766,GoFitts,2023.2.3,MacIntel,30.03003003,"[426.95362830114476,-190.09200261622806]","[-457.14601682223173,97.16938551687966]",48,934.7178616,5.32,0,1.266,0.3981,"[432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,432.3515625,423.97265625,379.1953125,247.44140625,143.98046875,0.11328125,-111.64453125,-209.29296875,-273.9453125,-325.9375,-350.0625,-384.3359375,-407.171875,-422.01171875,-433.75,-449.84375,-461.5859375,-469.59375,-476.671875,-479.546875,-480.3125,-480.3125,-480.3125,-480.3125,-480.3125,-480.3125,-479.93359375,-479.5546875,-479.2421875,-479.2421875,-479.2421875,-479.2421875,-479.2421875,-479.2421875,-479.2421875,-479.2421875,-479.2421875,-463.61328125,-453.125,-446.73828125,-444.55078125,-444.55078125,-444.55078125,-444.55078125,-444.55078125]","[-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-203.1015625,-199.53515625,-182.8515625,-139.9765625,-99.4921875,-31.75,20.37890625,57.1171875,80.2109375,97.85546875,105.06640625,113.90625,121.20703125,123.80078125,123.80078125,123.80078125,122.328125,119.6640625,117.13671875,116.234375,115.85546875,115.28515625,113.76953125,110.53125,109.015625,107.5,106.8125,106.125,105.8125,105.8125,105.8125,105.8125,105.8125,105.8125,105.8125,105.8125,105.8125,101.03515625,96.4609375,92.21875,90.55859375,90.55859375,90.296875,90.01171875,90.01171875]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.03080000001192218,0.06459999999404076,0.09809999999404084,0.13149999999999906,0.16480000001192252,0.1983000000119226,0.23150000000000048,0.2649000000059587,0.2980999999940366,0.3315999999940402,0.3651999999880786,0.398099999994038,0.4320999999940369,0.4648000000119197,0.4984000000059581,0.5320000000000036,0.5645000000000024,0.5985999999940432,0.6319000000059631,0.665099999994041,0.6985999999940375,0.7313000000119203,0.7651999999880772,0.79790000000596,0.8320000000000007,0.8654999999999973,0.8986999999880823,0.9318000000119184,0.9654999999999987,0.9986999999880766,1.0321999999880802,1.0655000000000001,1.0985999999940432,1.1319000000059631,1.165099999994041,1.198400000005961,1.2314000000059622,1.2659999999999982,1.297699999988076,1.3314999999999984,1.3648000000119183,1.3981999999880799,1.431400000005958,1.4648000000119197,1.4981999999880813,1.531599999994043,1.5649999999999977,1.5985000000000014,1.6313000000119189,1.6649999999999991,1.6980999999940423,1.7319999999999993,1.7651999999880772,1.7981999999880784]",7,0,7,0,1,,,,
